Variable,Overall,IO-IO,IO-TKI,SMD
n,446,130,316,
"Age, years, median (IQR)",70 (62–75),70 (61–74),70 (62–76),-0.22
Male sex,342 (77%),102 (78%),240 (76%),0.06
KPS < 80,63 (14%),18 (14%),45 (14%),-0.01
Time to treatment < 1 year,302 (68%),108 (83%),194 (61%),0.50
Clear cell histology,360 (81%),96 (74%),264 (84%),-0.24
Sarcomatoid features,34 (11%),14 (16%),20 (9%),0.23
IMDC risk group,,,,
  Favorable,77 (17%),0 (0%),77 (24%),-0.80
  Intermediate,281 (63%),100 (77%),181 (57%),0.43
  Poor,88 (20%),30 (23%),58 (18%),0.12
Metastatic sites,,,,
  Lung,268 (60%),83 (64%),185 (59%),0.11
  Bone,131 (29%),40 (31%),91 (29%),0.04
  Liver,71 (16%),22 (17%),49 (16%),0.04
  Brain,23 (5%),8 (6%),15 (5%),0.06
  Lymph node,157 (35%),56 (43%),101 (32%),0.23
≥2 metastatic sites,186 (42%),65 (50%),121 (38%),0.24
Laboratory values,,,,
"  Hemoglobin, g/dL, median (IQR)",12 (11–14),12 (11–13),12 (11–14),-0.13
  Anemia (Hb < LLN),270 (61%),86 (66%),184 (58%),0.16
"  LDH, U/L, median (IQR)",180 (156–220),180 (159–221),180 (156–219),-0.06
  LDH > 250 U/L,73 (16%),19 (15%),54 (17%),-0.07
mGPS,,,,
  0,251 (56%),68 (52%),183 (58%),-0.11
  1,77 (17%),25 (19%),52 (16%),0.07
  2,118 (26%),37 (28%),81 (26%),0.06
"Proposed model score, median (IQR)",2 (1–4),3 (2–5),2 (1–4),0.26
Proposed model risk group,,,,
  Favorable,227 (51%),62 (48%),165 (52%),-0.09
  Intermediate,127 (28%),35 (27%),92 (29%),-0.05
  Poor,92 (21%),33 (25%),59 (19%),0.16
"Follow-up, months, median (IQR)",18 (8–34),28 (12–46),16 (8–28),0.62
Deaths,167 (37%),71 (55%),96 (30%),0.51
,,,,
Notes:,,,,
Data are presented as n (%) or median (IQR).,,,,
SMD = standardized mean difference.,,,,
,,,,
Abbreviations:,,,,
IQR = interquartile range,,,,
IO = immune checkpoint inhibitor,,,,
TKI = tyrosine kinase inhibitor,,,,
KPS = Karnofsky Performance Status,,,,
IMDC = International Metastatic Renal Cell Carcinoma Database Consortium,,,,
Hb = hemoglobin,,,,
LLN = lower limit of normal,,,,
LDH = lactate dehydrogenase,,,,
mGPS = modified Glasgow Prognostic Score (CRP > 10 mg/L and/or albumin < 35 g/L),,,,
,,,,
IO-IO: nivolumab plus ipilimumab.,,,,
IO-TKI: pembrolizumab plus axitinib/nivolumab plus cabozantinib/pembrolizumab plus lenvatinib.,,,,
